topic,term,beta
5,gravel,3.3187875349683405e-6
1,35th,3.0328925706703735e-4
2,35th,1.3661633504054738e-12
3,35th,9.330156610330084e-4
4,35th,3.99412591651181e-4
5,35th,1.1201673124321339e-10
1,dolph,5.510088013130848e-38
2,dolph,4.2876876426687754e-76
3,dolph,4.4238951797860007e-4
4,dolph,3.749978261877096e-66
5,dolph,7.453466665778203e-41
1,28th,2.901324636303355e-4
2,28th,6.194010612640091e-16
3,28th,1.2657442060860347e-17
4,28th,0.00481397492776318
5,28th,6.881376841854135e-4
1,34th,6.439232994685134e-14
2,34th,2.9553133198656635e-9
3,34th,3.026249037886303e-4
4,34th,0.0013325461338523554
5,34th,7.83463484894386e-19
1,vancouver,4.951248749782833e-7
2,vancouver,1.0494481122094845e-10
3,vancouver,5.331859712037017e-4
4,vancouver,2.3362129035284476e-4
5,vancouver,0.0015976697536530084
1,los,4.026534525178619e-94
2,los,2.540635438016028e-64
3,los,6.319180768930967e-5
4,los,2.2571691126970595e-4
5,los,1.685727342230611e-118
1,trail,5.9139147619911936e-8
2,trail,2.5327129211256857e-4
3,trail,3.397769221882821e-4
4,trail,6.398072140394523e-4
5,trail,5.777557211471125e-13
1,paved,3.3807828588280615e-4
2,paved,8.127274865960022e-13
3,paved,7.542639025646076e-4
4,paved,1.096519852430658e-6
5,paved,2.0800586121716437e-15
1,fast,0.005672000791991641
2,fast,0.0026380879724946307
3,fast,6.083066646329578e-4
4,fast,9.29932791332977e-4
5,fast,5.710355414408063e-4
1,people,0.01741922692806764
2,people,0.010281349386851404
3,people,0.007795035849946626
4,people,0.007232543549413294
5,people,0.006482782977758887
1,flanders,2.0628060120147187e-20
2,flanders,5.559020172361291e-4
3,flanders,4.354536901384059e-24
4,flanders,1.0942487975304931e-44
5,flanders,2.361653946840683e-4
1,32nd,1.692227366216388e-14
2,32nd,4.0508819187848533e-4
3,32nd,7.16823709751133e-5
4,32nd,9.093845796245202e-4
5,32nd,9.88950961071305e-4
1,alberta,7.371596194820633e-12
2,alberta,4.7807394520392254e-4
3,alberta,1.7699053188407716e-7
4,alberta,1.0850189064008068e-13
5,alberta,0.0018431413821027771
